state,Question,Data_Value
Wyoming,Percent of adults aged 18 years and older who have obesity,12.0
Maryland,Percent of adults aged 18 years and older who have obesity,12.8
Maryland,Percent of adults aged 18 years and older who have obesity,35.1
Oklahoma,Percent of adults aged 18 years and older who have obesity,34.1
New Jersey,Percent of adults aged 18 years and older who have obesity,29.2
National,Percent of adults aged 18 years and older who have obesity,34.5
Hawaii,Percent of adults aged 18 years and older who have obesity,20.6
Missouri,Percent of adults aged 18 years and older who have obesity,33.1
Louisiana,Percent of adults aged 18 years and older who have obesity,38.2
Idaho,Percent of adults aged 18 years and older who have obesity,28.9
North Dakota,Percent of adults aged 18 years and older who have obesity,36.1
Ohio,Percent of adults aged 18 years and older who have obesity,38.2
Minnesota,Percent of adults aged 18 years and older who have obesity,24.3
Oregon,Percent of adults aged 18 years and older who have obesity,29.6
Alabama,Percent of adults aged 18 years and older who have obesity,34.6
Illinois,Percent of adults aged 18 years and older who have obesity,32.5
Michigan,Percent of adults aged 18 years and older who have obesity,31.4
Missouri,Percent of adults aged 18 years and older who have obesity,39.2
New Hampshire,Percent of adults aged 18 years and older who have obesity,21.7
Missouri,Percent of adults aged 18 years and older who have obesity,37.9
Louisiana,Percent of adults aged 18 years and older who have obesity,39.8
Montana,Percent of adults aged 18 years and older who have obesity,41.4
Colorado,Percent of adults aged 18 years and older who have obesity,21.7
Hawaii,Percent of adults aged 18 years and older who have obesity,17.4
Alabama,Percent of adults aged 18 years and older who have obesity,32.1
Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.6
Nevada,Percent of adults aged 18 years and older who have obesity,29.2
Tennessee,Percent of adults aged 18 years and older who have obesity,41.9
Oregon,Percent of adults aged 18 years and older who have obesity,31.7
Guam,Percent of adults aged 18 years and older who have obesity,30.5
Georgia,Percent of adults aged 18 years and older who have obesity,19.8
California,Percent of adults aged 18 years and older who have obesity,18.1
North Dakota,Percent of adults aged 18 years and older who have obesity,37.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,33.1
Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.6
Wyoming,Percent of adults aged 18 years and older who have obesity,29.0
South Dakota,Percent of adults aged 18 years and older who have obesity,26.6
Michigan,Percent of adults aged 18 years and older who have obesity,26.7
Iowa,Percent of adults aged 18 years and older who have obesity,40.6
New Mexico,Percent of adults aged 18 years and older who have obesity,37.8
Georgia,Percent of adults aged 18 years and older who have obesity,29.6
South Dakota,Percent of adults aged 18 years and older who have obesity,26.4
Maine,Percent of adults aged 18 years and older who have obesity,30.2
Oklahoma,Percent of adults aged 18 years and older who have obesity,29.3
Alabama,Percent of adults aged 18 years and older who have obesity,35.1
Minnesota,Percent of adults aged 18 years and older who have obesity,32.2
Montana,Percent of adults aged 18 years and older who have obesity,26.9
Maryland,Percent of adults aged 18 years and older who have obesity,25.7
North Carolina,Percent of adults aged 18 years and older who have obesity,35.3
New Jersey,Percent of adults aged 18 years and older who have obesity,25.5
California,Percent of adults aged 18 years and older who have obesity,34.5
Oregon,Percent of adults aged 18 years and older who have obesity,24.5
Idaho,Percent of adults aged 18 years and older who have obesity,29.0
Arkansas,Percent of adults aged 18 years and older who have obesity,35.7
South Dakota,Percent of adults aged 18 years and older who have obesity,27.0
District of Columbia,Percent of adults aged 18 years and older who have obesity,24.7
Arizona,Percent of adults aged 18 years and older who have obesity,24.0
Ohio,Percent of adults aged 18 years and older who have obesity,34.0
Texas,Percent of adults aged 18 years and older who have obesity,22.7
Vermont,Percent of adults aged 18 years and older who have obesity,27.7
Vermont,Percent of adults aged 18 years and older who have obesity,31.6
New Mexico,Percent of adults aged 18 years and older who have obesity,36.4
Alaska,Percent of adults aged 18 years and older who have obesity,34.2
New Mexico,Percent of adults aged 18 years and older who have obesity,33.8
Delaware,Percent of adults aged 18 years and older who have obesity,32.6
Puerto Rico,Percent of adults aged 18 years and older who have obesity,40.4
Utah,Percent of adults aged 18 years and older who have obesity,29.5
District of Columbia,Percent of adults aged 18 years and older who have obesity,16.4
Alaska,Percent of adults aged 18 years and older who have obesity,27.2
Texas,Percent of adults aged 18 years and older who have obesity,37.7
New Jersey,Percent of adults aged 18 years and older who have obesity,21.8
Arizona,Percent of adults aged 18 years and older who have obesity,32.7
Nebraska,Percent of adults aged 18 years and older who have obesity,35.0
Maine,Percent of adults aged 18 years and older who have obesity,32.6
Hawaii,Percent of adults aged 18 years and older who have obesity,19.1
Arkansas,Percent of adults aged 18 years and older who have obesity,40.3
Tennessee,Percent of adults aged 18 years and older who have obesity,34.4
Rhode Island,Percent of adults aged 18 years and older who have obesity,33.0
Michigan,Percent of adults aged 18 years and older who have obesity,36.3
Minnesota,Percent of adults aged 18 years and older who have obesity,33.4
Washington,Percent of adults aged 18 years and older who have obesity,32.2
Louisiana,Percent of adults aged 18 years and older who have obesity,29.6
West Virginia,Percent of adults aged 18 years and older who have obesity,43.5
Utah,Percent of adults aged 18 years and older who have obesity,15.3
Idaho,Percent of adults aged 18 years and older who have obesity,28.3
West Virginia,Percent of adults aged 18 years and older who have obesity,36.0
South Carolina,Percent of adults aged 18 years and older who have obesity,19.5
Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.9
National,Percent of adults aged 18 years and older who have obesity,29.5
Ohio,Percent of adults aged 18 years and older who have obesity,35.5
Arkansas,Percent of adults aged 18 years and older who have obesity,41.2
Maryland,Percent of adults aged 18 years and older who have obesity,36.9
Michigan,Percent of adults aged 18 years and older who have obesity,32.6
Maine,Percent of adults aged 18 years and older who have obesity,35.5
Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8
Kansas,Percent of adults aged 18 years and older who have obesity,28.8
Wyoming,Percent of adults aged 18 years and older who have obesity,30.2
Rhode Island,Percent of adults aged 18 years and older who have obesity,10.9
Delaware,Percent of adults aged 18 years and older who have obesity,33.6
Kentucky,Percent of adults aged 18 years and older who have obesity,45.4
Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.8
New Jersey,Percent of adults aged 18 years and older who have obesity,34.2
Colorado,Percent of adults aged 18 years and older who have obesity,29.4
Michigan,Percent of adults aged 18 years and older who have obesity,36.0
Louisiana,Percent of adults aged 18 years and older who have obesity,46.2
Maryland,Percent of adults aged 18 years and older who have obesity,27.9
Indiana,Percent of adults aged 18 years and older who have obesity,36.6
Maryland,Percent of adults aged 18 years and older who have obesity,36.9
Washington,Percent of adults aged 18 years and older who have obesity,33.2
Alabama,Percent of adults aged 18 years and older who have obesity,30.8
Kansas,Percent of adults aged 18 years and older who have obesity,37.4
Missouri,Percent of adults aged 18 years and older who have obesity,35.1
Delaware,Percent of adults aged 18 years and older who have obesity,33.5
Florida,Percent of adults aged 18 years and older who have obesity,16.6
Ohio,Percent of adults aged 18 years and older who have obesity,26.0
Minnesota,Percent of adults aged 18 years and older who have obesity,28.0
Mississippi,Percent of adults aged 18 years and older who have obesity,36.9
Guam,Percent of adults aged 18 years and older who have obesity,29.0
Tennessee,Percent of adults aged 18 years and older who have obesity,29.0
Montana,Percent of adults aged 18 years and older who have obesity,34.2
South Dakota,Percent of adults aged 18 years and older who have obesity,42.6
Georgia,Percent of adults aged 18 years and older who have obesity,33.3
California,Percent of adults aged 18 years and older who have obesity,30.6
Kansas,Percent of adults aged 18 years and older who have obesity,37.3
New Jersey,Percent of adults aged 18 years and older who have obesity,12.3
Oregon,Percent of adults aged 18 years and older who have obesity,32.7
South Dakota,Percent of adults aged 18 years and older who have obesity,29.2
Virginia,Percent of adults aged 18 years and older who have obesity,30.4
Maine,Percent of adults aged 18 years and older who have obesity,30.5
Alabama,Percent of adults aged 18 years and older who have obesity,43.7
Mississippi,Percent of adults aged 18 years and older who have obesity,38.5
New Mexico,Percent of adults aged 18 years and older who have obesity,26.0
Colorado,Percent of adults aged 18 years and older who have obesity,22.0
Hawaii,Percent of adults aged 18 years and older who have obesity,25.9
Pennsylvania,Percent of adults aged 18 years and older who have obesity,35.6
Massachusetts,Percent of adults aged 18 years and older who have obesity,26.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,40.9
Idaho,Percent of adults aged 18 years and older who have obesity,28.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.9
Tennessee,Percent of adults aged 18 years and older who have obesity,42.7
Alabama,Percent of adults aged 18 years and older who have obesity,39.2
Michigan,Percent of adults aged 18 years and older who have obesity,33.0
Ohio,Percent of adults aged 18 years and older who have obesity,34.0
New Jersey,Percent of adults aged 18 years and older who have obesity,20.1
West Virginia,Percent of adults aged 18 years and older who have obesity,41.1
Florida,Percent of adults aged 18 years and older who have obesity,34.2
Oklahoma,Percent of adults aged 18 years and older who have obesity,40.8
New Mexico,Percent of adults aged 18 years and older who have obesity,32.3
Arizona,Percent of adults aged 18 years and older who have obesity,31.1
Arkansas,Percent of adults aged 18 years and older who have obesity,36.5
South Dakota,Percent of adults aged 18 years and older who have obesity,31.8
California,Percent of adults aged 18 years and older who have obesity,34.4
Virginia,Percent of adults aged 18 years and older who have obesity,30.7
Rhode Island,Percent of adults aged 18 years and older who have obesity,22.5
Alaska,Percent of adults aged 18 years and older who have obesity,26.7
Illinois,Percent of adults aged 18 years and older who have obesity,42.5
Mississippi,Percent of adults aged 18 years and older who have obesity,38.4
Montana,Percent of adults aged 18 years and older who have obesity,25.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,29.3
New Hampshire,Percent of adults aged 18 years and older who have obesity,30.7
Rhode Island,Percent of adults aged 18 years and older who have obesity,28.5
Nebraska,Percent of adults aged 18 years and older who have obesity,34.5
Virginia,Percent of adults aged 18 years and older who have obesity,25.2
California,Percent of adults aged 18 years and older who have obesity,31.4
Texas,Percent of adults aged 18 years and older who have obesity,10.1
South Carolina,Percent of adults aged 18 years and older who have obesity,36.7
Maine,Percent of adults aged 18 years and older who have obesity,20.5
Oklahoma,Percent of adults aged 18 years and older who have obesity,37.4
Connecticut,Percent of adults aged 18 years and older who have obesity,32.3
South Dakota,Percent of adults aged 18 years and older who have obesity,31.1
Arizona,Percent of adults aged 18 years and older who have obesity,48.6
Arizona,Percent of adults aged 18 years and older who have obesity,33.2
Wyoming,Percent of adults aged 18 years and older who have obesity,33.9
Nebraska,Percent of adults aged 18 years and older who have obesity,8.3
Delaware,Percent of adults aged 18 years and older who have obesity,37.7
Louisiana,Percent of adults aged 18 years and older who have obesity,39.5
North Carolina,Percent of adults aged 18 years and older who have obesity,32.5
District of Columbia,Percent of adults aged 18 years and older who have obesity,21.2
Maine,Percent of adults aged 18 years and older who have obesity,19.9
Wisconsin,Percent of adults aged 18 years and older who have obesity,35.8
Arkansas,Percent of adults aged 18 years and older who have obesity,40.5
North Dakota,Percent of adults aged 18 years and older who have obesity,38.1
Indiana,Percent of adults aged 18 years and older who have obesity,38.0
Hawaii,Percent of adults aged 18 years and older who have obesity,34.5
Nebraska,Percent of adults aged 18 years and older who have obesity,32.1
North Carolina,Percent of adults aged 18 years and older who have obesity,34.4
Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4
Utah,Percent of adults aged 18 years and older who have obesity,29.5
Montana,Percent of adults aged 18 years and older who have obesity,27.8
Maryland,Percent of adults aged 18 years and older who have obesity,35.8
Michigan,Percent of adults aged 18 years and older who have obesity,35.7
Alabama,Percent of adults aged 18 years and older who have obesity,37.2
Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.9
Wyoming,Percent of adults aged 18 years and older who have obesity,26.4
Washington,Percent of adults aged 18 years and older who have obesity,15.2
Oregon,Percent of adults aged 18 years and older who have obesity,36.5
Virginia,Percent of adults aged 18 years and older who have obesity,30.0
Florida,Percent of adults aged 18 years and older who have obesity,33.2
Nevada,Percent of adults aged 18 years and older who have obesity,31.3
National,Percent of adults aged 18 years and older who have obesity,27.4
Colorado,Percent of adults aged 18 years and older who have obesity,22.5
Louisiana,Percent of adults aged 18 years and older who have obesity,39.6
New Hampshire,Percent of adults aged 18 years and older who have obesity,42.0
Indiana,Percent of adults aged 18 years and older who have obesity,38.0
Nebraska,Percent of adults aged 18 years and older who have obesity,34.1
West Virginia,Percent of adults aged 18 years and older who have obesity,34.0
Tennessee,Percent of adults aged 18 years and older who have obesity,30.1
Wisconsin,Percent of adults aged 18 years and older who have obesity,36.1
New York,Percent of adults aged 18 years and older who have obesity,30.5
Colorado,Percent of adults aged 18 years and older who have obesity,6.4
Washington,Percent of adults aged 18 years and older who have obesity,29.4
Connecticut,Percent of adults aged 18 years and older who have obesity,10.9
Minnesota,Percent of adults aged 18 years and older who have obesity,37.8
Georgia,Percent of adults aged 18 years and older who have obesity,31.6
New Hampshire,Percent of adults aged 18 years and older who have obesity,31.1
Nebraska,Percent of adults aged 18 years and older who have obesity,29.5
Iowa,Percent of adults aged 18 years and older who have obesity,41.0
Guam,Percent of adults aged 18 years and older who have obesity,34.1
Missouri,Percent of adults aged 18 years and older who have obesity,39.7
Virginia,Percent of adults aged 18 years and older who have obesity,36.6
Alabama,Percent of adults aged 18 years and older who have obesity,19.3
Connecticut,Percent of adults aged 18 years and older who have obesity,27.1
Texas,Percent of adults aged 18 years and older who have obesity,36.1
Massachusetts,Percent of adults aged 18 years and older who have obesity,29.5
North Carolina,Percent of adults aged 18 years and older who have obesity,30.6
Guam,Percent of adults aged 18 years and older who have obesity,36.0
Virginia,Percent of adults aged 18 years and older who have obesity,22.5
Georgia,Percent of adults aged 18 years and older who have obesity,30.2
Wisconsin,Percent of adults aged 18 years and older who have obesity,33.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,9.5
North Dakota,Percent of adults aged 18 years and older who have obesity,30.4
Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.1
Florida,Percent of adults aged 18 years and older who have obesity,24.4
North Carolina,Percent of adults aged 18 years and older who have obesity,38.2
Georgia,Percent of adults aged 18 years and older who have obesity,43.2
Arkansas,Percent of adults aged 18 years and older who have obesity,39.4
Minnesota,Percent of adults aged 18 years and older who have obesity,31.9
Kansas,Percent of adults aged 18 years and older who have obesity,39.5
Vermont,Percent of adults aged 18 years and older who have obesity,21.9
Texas,Percent of adults aged 18 years and older who have obesity,39.6
Louisiana,Percent of adults aged 18 years and older who have obesity,36.8
Delaware,Percent of adults aged 18 years and older who have obesity,51.2
Mississippi,Percent of adults aged 18 years and older who have obesity,39.7
Maine,Percent of adults aged 18 years and older who have obesity,29.0
California,Percent of adults aged 18 years and older who have obesity,33.3
New Jersey,Percent of adults aged 18 years and older who have obesity,31.8
Indiana,Percent of adults aged 18 years and older who have obesity,39.3
Texas,Percent of adults aged 18 years and older who have obesity,30.6
Guam,Percent of adults aged 18 years and older who have obesity,30.3
Oklahoma,Percent of adults aged 18 years and older who have obesity,32.8
Colorado,Percent of adults aged 18 years and older who have obesity,23.6
Montana,Percent of adults aged 18 years and older who have obesity,28.5
Colorado,Percent of adults aged 18 years and older who have obesity,21.8
Iowa,Percent of adults aged 18 years and older who have obesity,41.4
Louisiana,Percent of adults aged 18 years and older who have obesity,29.7
Rhode Island,Percent of adults aged 18 years and older who have obesity,27.1
Utah,Percent of adults aged 18 years and older who have obesity,30.3
Illinois,Percent of adults aged 18 years and older who have obesity,32.8
North Dakota,Percent of adults aged 18 years and older who have obesity,35.1
Minnesota,Percent of adults aged 18 years and older who have obesity,33.4
New Hampshire,Percent of adults aged 18 years and older who have obesity,29.6
Mississippi,Percent of adults aged 18 years and older who have obesity,35.9
New Mexico,Percent of adults aged 18 years and older who have obesity,34.3
Connecticut,Percent of adults aged 18 years and older who have obesity,29.8
Colorado,Percent of adults aged 18 years and older who have obesity,30.4
Connecticut,Percent of adults aged 18 years and older who have obesity,22.9
Oregon,Percent of adults aged 18 years and older who have obesity,25.6
North Dakota,Percent of adults aged 18 years and older who have obesity,41.7
Wyoming,Percent of adults aged 18 years and older who have obesity,34.0
New Hampshire,Percent of adults aged 18 years and older who have obesity,38.1
Illinois,Percent of adults aged 18 years and older who have obesity,36.7
Vermont,Percent of adults aged 18 years and older who have obesity,28.0
Louisiana,Percent of adults aged 18 years and older who have obesity,41.5
Washington,Percent of adults aged 18 years and older who have obesity,29.9
Hawaii,Percent of adults aged 18 years and older who have obesity,28.0
Nevada,Percent of adults aged 18 years and older who have obesity,29.6
Guam,Percent of adults aged 18 years and older who have obesity,41.0
Louisiana,Percent of adults aged 18 years and older who have obesity,40.6
California,Percent of adults aged 18 years and older who have obesity,26.0
California,Percent of adults aged 18 years and older who have obesity,30.1
Tennessee,Percent of adults aged 18 years and older who have obesity,39.3
Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.3
Missouri,Percent of adults aged 18 years and older who have obesity,37.6
Guam,Percent of adults aged 18 years and older who have obesity,33.5
Mississippi,Percent of adults aged 18 years and older who have obesity,45.7
Alabama,Percent of adults aged 18 years and older who have obesity,38.4
Minnesota,Percent of adults aged 18 years and older who have obesity,35.2
South Carolina,Percent of adults aged 18 years and older who have obesity,36.2
Oklahoma,Percent of adults aged 18 years and older who have obesity,34.6
National,Percent of adults aged 18 years and older who have obesity,29.4
Minnesota,Percent of adults aged 18 years and older who have obesity,32.4
Missouri,Percent of adults aged 18 years and older who have obesity,35.0
Maryland,Percent of adults aged 18 years and older who have obesity,33.1
Oregon,Percent of adults aged 18 years and older who have obesity,30.5
Maryland,Percent of adults aged 18 years and older who have obesity,18.1
Oklahoma,Percent of adults aged 18 years and older who have obesity,2.6
District of Columbia,Percent of adults aged 18 years and older who have obesity,32.9
Pennsylvania,Percent of adults aged 18 years and older who have obesity,27.5
Rhode Island,Percent of adults aged 18 years and older who have obesity,32.0
South Dakota,Percent of adults aged 18 years and older who have obesity,47.5
Maryland,Percent of adults aged 18 years and older who have obesity,25.6
South Dakota,Percent of adults aged 18 years and older who have obesity,12.6
West Virginia,Percent of adults aged 18 years and older who have obesity,45.6
District of Columbia,Percent of adults aged 18 years and older who have obesity,12.3
Louisiana,Percent of adults aged 18 years and older who have obesity,40.4
Alabama,Percent of adults aged 18 years and older who have obesity,33.5
Idaho,Percent of adults aged 18 years and older who have obesity,27.8
Missouri,Percent of adults aged 18 years and older who have obesity,34.3
Indiana,Percent of adults aged 18 years and older who have obesity,34.2
Michigan,Percent of adults aged 18 years and older who have obesity,34.6
Ohio,Percent of adults aged 18 years and older who have obesity,39.2
Montana,Percent of adults aged 18 years and older who have obesity,31.2
Maine,Percent of adults aged 18 years and older who have obesity,29.2
Kentucky,Percent of adults aged 18 years and older who have obesity,37.8
Hawaii,Percent of adults aged 18 years and older who have obesity,27.9
Texas,Percent of adults aged 18 years and older who have obesity,32.4
Delaware,Percent of adults aged 18 years and older who have obesity,38.3
Rhode Island,Percent of adults aged 18 years and older who have obesity,27.7
Delaware,Percent of adults aged 18 years and older who have obesity,37.9
Kentucky,Percent of adults aged 18 years and older who have obesity,36.6
Florida,Percent of adults aged 18 years and older who have obesity,30.3
Tennessee,Percent of adults aged 18 years and older who have obesity,25.2
Michigan,Percent of adults aged 18 years and older who have obesity,40.3
Wisconsin,Percent of adults aged 18 years and older who have obesity,25.2
Arizona,Percent of adults aged 18 years and older who have obesity,26.1
Iowa,Percent of adults aged 18 years and older who have obesity,25.4
Massachusetts,Percent of adults aged 18 years and older who have obesity,13.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,32.0
Florida,Percent of adults aged 18 years and older who have obesity,31.0
Vermont,Percent of adults aged 18 years and older who have obesity,23.0
South Dakota,Percent of adults aged 18 years and older who have obesity,29.2
North Carolina,Percent of adults aged 18 years and older who have obesity,32.1
Maine,Percent of adults aged 18 years and older who have obesity,35.4
Guam,Percent of adults aged 18 years and older who have obesity,31.7
Colorado,Percent of adults aged 18 years and older who have obesity,21.8
Virginia,Percent of adults aged 18 years and older who have obesity,13.4
Montana,Percent of adults aged 18 years and older who have obesity,29.2
California,Percent of adults aged 18 years and older who have obesity,24.8
Mississippi,Percent of adults aged 18 years and older who have obesity,32.8
National,Percent of adults aged 18 years and older who have obesity,35.6
Kansas,Percent of adults aged 18 years and older who have obesity,36.0
Utah,Percent of adults aged 18 years and older who have obesity,25.5
New Mexico,Percent of adults aged 18 years and older who have obesity,29.2
Connecticut,Percent of adults aged 18 years and older who have obesity,36.5
Massachusetts,Percent of adults aged 18 years and older who have obesity,25.9
Iowa,Percent of adults aged 18 years and older who have obesity,29.2
Hawaii,Percent of adults aged 18 years and older who have obesity,23.2
Connecticut,Percent of adults aged 18 years and older who have obesity,30.5
Minnesota,Percent of adults aged 18 years and older who have obesity,19.0
Alabama,Percent of adults aged 18 years and older who have obesity,37.8
Illinois,Percent of adults aged 18 years and older who have obesity,35.5
Pennsylvania,Percent of adults aged 18 years and older who have obesity,36.3
Michigan,Percent of adults aged 18 years and older who have obesity,32.3
South Dakota,Percent of adults aged 18 years and older who have obesity,28.7
Arkansas,Percent of adults aged 18 years and older who have obesity,30.1
Rhode Island,Percent of adults aged 18 years and older who have obesity,26.5
Indiana,Percent of adults aged 18 years and older who have obesity,33.1
Alaska,Percent of adults aged 18 years and older who have obesity,21.2
Utah,Percent of adults aged 18 years and older who have obesity,25.7
Washington,Percent of adults aged 18 years and older who have obesity,29.4
Indiana,Percent of adults aged 18 years and older who have obesity,34.1
Georgia,Percent of adults aged 18 years and older who have obesity,38.7
Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.1
Oregon,Percent of adults aged 18 years and older who have obesity,31.3
Arizona,Percent of adults aged 18 years and older who have obesity,28.0
Washington,Percent of adults aged 18 years and older who have obesity,31.2
Illinois,Percent of adults aged 18 years and older who have obesity,30.1
California,Percent of adults aged 18 years and older who have obesity,15.2
South Carolina,Percent of adults aged 18 years and older who have obesity,31.3
West Virginia,Percent of adults aged 18 years and older who have obesity,40.6
Wisconsin,Percent of adults aged 18 years and older who have obesity,30.2
Minnesota,Percent of adults aged 18 years and older who have obesity,32.8
West Virginia,Percent of adults aged 18 years and older who have obesity,39.9
Wisconsin,Percent of adults aged 18 years and older who have obesity,28.3
National,Percent of adults aged 18 years and older who have obesity,35.0
Alaska,Percent of adults aged 18 years and older who have obesity,28.5
Arkansas,Percent of adults aged 18 years and older who have obesity,37.1
North Carolina,Percent of adults aged 18 years and older who have obesity,35.0
Wyoming,Percent of adults aged 18 years and older who have obesity,22.3
Massachusetts,Percent of adults aged 18 years and older who have obesity,25.7
Ohio,Percent of adults aged 18 years and older who have obesity,33.6
North Dakota,Percent of adults aged 18 years and older who have obesity,31.2
Missouri,Percent of adults aged 18 years and older who have obesity,45.3
Tennessee,Percent of adults aged 18 years and older who have obesity,45.8
Kentucky,Percent of adults aged 18 years and older who have obesity,43.1
New Jersey,Percent of adults aged 18 years and older who have obesity,24.3
Wisconsin,Percent of adults aged 18 years and older who have obesity,46.8
Texas,Percent of adults aged 18 years and older who have obesity,35.3
Arizona,Percent of adults aged 18 years and older who have obesity,14.4
Vermont,Percent of adults aged 18 years and older who have obesity,34.1
Arkansas,Percent of adults aged 18 years and older who have obesity,26.2
National,Percent of adults aged 18 years and older who have obesity,36.9
New York,Percent of adults aged 18 years and older who have obesity,30.3
Delaware,Percent of adults aged 18 years and older who have obesity,35.8
Utah,Percent of adults aged 18 years and older who have obesity,31.2
Indiana,Percent of adults aged 18 years and older who have obesity,33.9
New York,Percent of adults aged 18 years and older who have obesity,31.6
Kentucky,Percent of adults aged 18 years and older who have obesity,36.8
Nevada,Percent of adults aged 18 years and older who have obesity,29.7
Alaska,Percent of adults aged 18 years and older who have obesity,29.3
New Hampshire,Percent of adults aged 18 years and older who have obesity,22.3
Kansas,Percent of adults aged 18 years and older who have obesity,32.4
Maine,Percent of adults aged 18 years and older who have obesity,38.6
Mississippi,Percent of adults aged 18 years and older who have obesity,29.5
Nebraska,Percent of adults aged 18 years and older who have obesity,35.1
Hawaii,Percent of adults aged 18 years and older who have obesity,34.0
Alabama,Percent of adults aged 18 years and older who have obesity,29.4
New Jersey,Percent of adults aged 18 years and older who have obesity,26.6
Massachusetts,Percent of adults aged 18 years and older who have obesity,24.9
Oklahoma,Percent of adults aged 18 years and older who have obesity,38.9
Arizona,Percent of adults aged 18 years and older who have obesity,31.0
Virginia,Percent of adults aged 18 years and older who have obesity,33.6
Massachusetts,Percent of adults aged 18 years and older who have obesity,29.0
New Mexico,Percent of adults aged 18 years and older who have obesity,24.9
Colorado,Percent of adults aged 18 years and older who have obesity,24.2
Florida,Percent of adults aged 18 years and older who have obesity,32.0
Delaware,Percent of adults aged 18 years and older who have obesity,33.3
Michigan,Percent of adults aged 18 years and older who have obesity,31.4
District of Columbia,Percent of adults aged 18 years and older who have obesity,30.3
Alaska,Percent of adults aged 18 years and older who have obesity,33.4
Utah,Percent of adults aged 18 years and older who have obesity,29.2
South Carolina,Percent of adults aged 18 years and older who have obesity,31.5
Iowa,Percent of adults aged 18 years and older who have obesity,38.4
Arizona,Percent of adults aged 18 years and older who have obesity,27.5
Guam,Percent of adults aged 18 years and older who have obesity,34.2
Texas,Percent of adults aged 18 years and older who have obesity,40.4
Florida,Percent of adults aged 18 years and older who have obesity,31.1
Ohio,Percent of adults aged 18 years and older who have obesity,33.3
Nevada,Percent of adults aged 18 years and older who have obesity,32.8
South Carolina,Percent of adults aged 18 years and older who have obesity,43.7
Rhode Island,Percent of adults aged 18 years and older who have obesity,28.4
Indiana,Percent of adults aged 18 years and older who have obesity,31.8
Wyoming,Percent of adults aged 18 years and older who have obesity,26.6
Georgia,Percent of adults aged 18 years and older who have obesity,26.2
Oklahoma,Percent of adults aged 18 years and older who have obesity,35.4
Nevada,Percent of adults aged 18 years and older who have obesity,43.6
Iowa,Percent of adults aged 18 years and older who have obesity,35.7
Vermont,Percent of adults aged 18 years and older who have obesity,25.5
West Virginia,Percent of adults aged 18 years and older who have obesity,34.7
South Carolina,Percent of adults aged 18 years and older who have obesity,26.6
Idaho,Percent of adults aged 18 years and older who have obesity,29.5
West Virginia,Percent of adults aged 18 years and older who have obesity,39.2
National,Percent of adults aged 18 years and older who have obesity,18.1
Washington,Percent of adults aged 18 years and older who have obesity,34.6
Wisconsin,Percent of adults aged 18 years and older who have obesity,35.2
Pennsylvania,Percent of adults aged 18 years and older who have obesity,26.3
Arkansas,Percent of adults aged 18 years and older who have obesity,39.6
Hawaii,Percent of adults aged 18 years and older who have obesity,35.5
North Carolina,Percent of adults aged 18 years and older who have obesity,30.8
New Jersey,Percent of adults aged 18 years and older who have obesity,26.2
Wyoming,Percent of adults aged 18 years and older who have obesity,26.2
Kentucky,Percent of adults aged 18 years and older who have obesity,39.8
Tennessee,Percent of adults aged 18 years and older who have obesity,33.9
Georgia,Percent of adults aged 18 years and older who have obesity,40.6
Wyoming,Percent of adults aged 18 years and older who have obesity,27.8
Arkansas,Percent of adults aged 18 years and older who have obesity,44.0
Connecticut,Percent of adults aged 18 years and older who have obesity,34.4
Arizona,Percent of adults aged 18 years and older who have obesity,38.4
Massachusetts,Percent of adults aged 18 years and older who have obesity,27.0
New York,Percent of adults aged 18 years and older who have obesity,33.7
Ohio,Percent of adults aged 18 years and older who have obesity,32.2
Alaska,Percent of adults aged 18 years and older who have obesity,35.4
Texas,Percent of adults aged 18 years and older who have obesity,25.0
Rhode Island,Percent of adults aged 18 years and older who have obesity,26.2
New York,Percent of adults aged 18 years and older who have obesity,18.0
National,Percent of adults aged 18 years and older who have obesity,35.2
New Jersey,Percent of adults aged 18 years and older who have obesity,12.0
Oregon,Percent of adults aged 18 years and older who have obesity,37.7
Connecticut,Percent of adults aged 18 years and older who have obesity,26.3
Virginia,Percent of adults aged 18 years and older who have obesity,30.9
Connecticut,Percent of adults aged 18 years and older who have obesity,23.9
Vermont,Percent of adults aged 18 years and older who have obesity,32.0
Rhode Island,Percent of adults aged 18 years and older who have obesity,33.1
Kentucky,Percent of adults aged 18 years and older who have obesity,37.0
Nebraska,Percent of adults aged 18 years and older who have obesity,37.5
New York,Percent of adults aged 18 years and older who have obesity,27.4
